          10100             20             14            014
          10100             20             14            014
          01000              8             08            008
          10000             16             10            010
          00001              1             01            001
          00010              2             02            002
          00100              4             04            004
          01001              9             09            009
          10010             18             12            012
          00101              5             05            005
          01011             11             0B            00B
          10110             22             16            016
          01100             12             0C            00C
          11001             25             19            019
          10011             19             13            013
          00111              7             07            007
          01111             15             0F            00F
          11111             31             1F            01F
          11110             30             1E            01E
          11100             28             1C            01C
          11000             24             18            018
          10001             17             11            011
          00011              3             03            003
          00110              6             06            006
          01101             13             0D            00D
          11011             27             1B            01B
          10111             23             17            017
          01110             14             0E            00E
          11101             29             1D            01D
          11010             26             1A            01A
          10101             21             15            015
          01010             10             0A            00A
          10100             20             14            014
          01000              8             08            008
          10000             16             10            010
          00001              1             01            001
          00010              2             02            002
          00100              4             04            004
          01001              9             09            009
          10010             18             12            012
          00101              5             05            005
          01011             11             0B            00B
          10110             22             16            016
          01100             12             0C            00C
          11001             25             19            019
          10011             19             13            013
          00111              7             07            007
          01111             15             0F            00F
          11111             31             1F            01F
          11110             30             1E            01E
          11100             28             1C            01C
          11000             24             18            018
          10001             17             11            011
          00011              3             03            003
          00110              6             06            006
          01101             13             0D            00D
          11011             27             1B            01B
          10111             23             17            017
          01110             14             0E            00E
          11101             29             1D            01D
          11010             26             1A            01A
          10101             21             15            015
          01010             10             0A            00A
          10100             20             14            014
          01000              8             08            008
          10000             16             10            010
          00001              1             01            001
          00010              2             02            002
          00100              4             04            004
          01001              9             09            009
          10010             18             12            012
          00101              5             05            005
          01011             11             0B            00B
          10110             22             16            016
          01100             12             0C            00C
          11001             25             19            019
          10011             19             13            013
          00111              7             07            007
          01111             15             0F            00F
          11111             31             1F            01F
          11110             30             1E            01E
          11100             28             1C            01C
          11000             24             18            018
          10001             17             11            011
          00011              3             03            003
          00110              6             06            006
          01101             13             0D            00D
          11011             27             1B            01B
          10111             23             17            017
          01110             14             0E            00E
          11101             29             1D            01D
          11010             26             1A            01A
          10101             21             15            015
          01010             10             0A            00A
          10100             20             14            014
          01000              8             08            008
          10000             16             10            010
          00001              1             01            001
          00010              2             02            002
